business_name,category,area,latitude,longitude,distance_km,geofilter,geofilter_reason,coordinate_source,phone,normalized_phone,website,instagram_handle,instagram_url,facebook_url,google_maps_cid,verified_date,operating_status,url,instagram_enrich_source,instagram_enrich_date,instagram_enrich_confidence,instagram_confidence,ig_verified,ig_verify_date,whatsapp,email,tiktok_url,youtube_url,twitter_url,other_social_urls,description_full
Cabinas Popular,hotel,Puerto Viejo,9.65643,-82.751674,0.212,pass,area_included:Puerto Viejo,array,+506 2750 0087,+50627500087,,,,,,2026-03-06,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-popular/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"Cabinas with private bath, TV and wifi 4.0 / 5 rating on Google Maps  8.4 / 10 rating on Booking.com"
Cabinas Talamanca,hotel,Puerto Viejo,9.658405,-82.749143,0.565,pass,area_included:Puerto Viejo,array,+506 2750 0425,+50627500425,,cabinastalamanca,https://www.instagram.com/cabinastalamanca/,,,2026-01-07,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-talamanca/,direct_profile_check,2026-07-04,high,high,true,2026-07-04,,,,,,,"Double and triple rooms with private bath, fan in a garden setting. Hang out area with billiard table. Wifi. Breakfast available."
Casa Ana Kimba,hotel,Puerto Viejo,9.657087,-82.749872,0.42,pass,area_included:Puerto Viejo,array,+506 8888 1968,+50688881968,,,,,13823455026627310391,2026-03-01,active,https://www.puertoviejosatellite.com/en/puerto-viejo/casa-ana-kimba/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"Hotel in a garden setting. All rooms with private bath, A/C, TV, terrace. 5.0 / 5 rating on Google Maps  9.7 / 10 rating on Booking.com"
Casa Bohö,hotel,Puerto Viejo,9.657995,-82.748907,0.561,pass,area_included:Puerto Viejo,array,+506 8715 1771,+50687151771,,casabohocr,https://www.instagram.com/casabohocr,,8284218495825622354,2026-03-19,active,https://www.puertoviejosatellite.com/en/puerto-viejo/casa-boho/,,,,verified,true,2026-07-04,+50687151771,,,,,,"Guesthouse in a recently renovated Caribbean style home. Private rooms each with their own bath. Offering a deeper and more conscious form of hospitality, advocating for responsible tourism. 4.7 / 5 rating on Google Maps  8.5 / 10 rating on Booking.com  4.5 / 5 rating on Tripadvisor"
La Casa de Rolando,hotel,Puerto Viejo,9.656002,-82.751856,0.172,pass,area_included:Puerto Viejo,array,+506 2750 0339,+50627500339,,,,https://www.facebook.com/profile.php?id=100057580384576,,2026-03-24,active,https://www.puertoviejosatellite.com/en/puerto-viejo/la-casa-de-rolando/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,Hotel with simple wooden rooms each with a small terrace with hammock. Some with private bath and some with shared. Communal kitchen. Also a 1 bedroom bungalow with kitchen. Swiss owner. 4.2 / 5 rating on Google Maps  8.5 / 10 rating on Booking.com
Casa Dolce Vita,hotel,Puerto Viejo,9.658089,-82.751514,0.357,pass,area_included:Puerto Viejo,array,+506 2750-0207,+50627500207,,casadolcevita,https://www.instagram.com/casadolcevita/,https://www.facebook.com/cabinascasadolcevita,,2026-03-14,active,https://www.puertoviejosatellite.com/en/puerto-viejo/casa-dolce-vita/,direct_profile_check,2026-07-04,high,high,true,2026-07-04,,,,,,,A small affordable hotel with rooms and cabinas with shared and private baths. Shared kitchen. Owned by a Italian couple. 4.6 / 5 rating on Google Maps  8.2 / 10 rating on Booking.com
Casitas La Playa,hotel,Puerto Viejo,9.657925,-82.745814,0.867,pass,area_included:Puerto Viejo,array,+506 5008 2987,+50650082987,,,,https://www.facebook.com/CasitasLaPlayaPuertoViejo,8798809940588504560,2026-03-23,active,https://www.puertoviejosatellite.com/en/puerto-viejo/casitas-la-playa/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"Variety of apartments and rooms, all with kitchens. On the beach side of the road so just a minute's stroll to the beach. Restaurant Todo Es Posible in front. 4.7 / 5 rating on Google Maps  8.4 / 10 rating on Booking.com"
Chinuk Boutique Hotel,hotel,Puerto Viejo,9.657502,-82.751496,0.306,pass,area_included:Puerto Viejo,array,+506 6055 5149,+50660555149,,chinuk_rentals_cr,https://www.instagram.com/chinuk_rentals_cr,https://www.facebook.com/profile.php?id=61584666986950,4032204592829800059,2026-05-15,active,https://www.puertoviejosatellite.com/en/puerto-viejo/chinuk-boutique-hotel/,,,,verified,true,2026-07-04,,,,,,,Small hotel with 6 rooms close to the center. Shared kitchen.
Conga Boutique Hotel,hotel,Puerto Viejo,9.656653,-82.745612,0.854,pass,area_included:Puerto Viejo,array,+506 2750 0681,+50627500681,,,,https://www.facebook.com/profile.php?id=100063725462792,17817187932984436803,2026-03-24,active,https://www.puertoviejosatellite.com/en/puerto-viejo/conga-boutique-hotel/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"Recently renovated boutique hotel located in a convenient quiet area on the edge of town. Stylish rooms, common areas, restaurant. 4.9 / 5 rating on Google Maps  9.2 / 10 rating on Booking.com  4.6 / 5 rating on Tripadvisor"
Escape Caribeño,hotel,Puerto Viejo,9.658574,-82.748481,0.635,pass,area_included:Puerto Viejo,array,+506 2750 0103,+50627500103,,,,https://www.facebook.com/escape.caribeno.5,,2026-03-19,active,https://www.puertoviejosatellite.com/en/puerto-viejo/escape-caribeno/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"14 bungalows located in front of Salsa Brava. All with TV, A/C, Wi-Fi, mini bar, safe box."
Exotic Lodge,hotel,Puerto Viejo,9.658765,-82.749794,0.536,pass,area_included:Puerto Viejo,array,+506 6296 7557,+50662967557,,exoticlodge,https://www.instagram.com/exoticlodge/,,8353070716309943884,2026-03-08,active,https://www.puertoviejosatellite.com/en/puerto-viejo/exotic-lodge/,direct_profile_check,2026-07-04,high,high,true,2026-07-04,,,,,,,Cabinas with private bath. Restaurant and bar. Previously named Morpheus Exotica Lodge and W Exotic. 3.9 / 5 rating on Google Maps  7.7 / 10 rating on Booking.com
Family Hotel,hotel,Puerto Viejo,9.657278,-82.750789,0.346,pass,area_included:Puerto Viejo,array,+506 8880 0338,+50688800338,,familyhotelpv,https://www.instagram.com/familyhotelpv,,16910431421739661204,2025-06-09,active,https://www.puertoviejosatellite.com/en/puerto-viejo/family-hotel/,,,,verified,true,2026-07-04,,,,,,,"Hotel with pool. Offers double or triple rooms and apartments with equipped kitchens. All of them with air conditioning, cable TV, Wi-Fi and private bath. 4.1 / 5 rating on Google Maps  8.3 / 10 rating on Booking.com"
Hostal Cecilia,hotel,Puerto Viejo,9.657362,-82.746545,0.772,pass,area_included:Puerto Viejo,array,+506 2750 0302,+50627500302,,hostalcecilia,https://www.instagram.com/hostalcecilia/,https://www.facebook.com/profile.php?id=100063539262338,11938523891103686222,2026-03-22,active,https://www.puertoviejosatellite.com/en/puerto-viejo/hostal-cecilia/,direct_profile_check,2026-07-04,high,high,true,2026-07-04,,,,,,,"Also called Pension Cecilia, this simple hotel (hostal in the Spanish sense, not hostel, there are no dormitories) offers simple affordable rooms, some with shared bath and some with private bath. Double rooms, family rooms and a bungalow. Shared kitchen available for use. 4.1 / 5 rating on Google Maps  9.0 / 10 rating on Booking.com"
Hotel Casa Vito,hotel,Puerto Viejo,9.657561,-82.745573,0.88,pass,area_included:Puerto Viejo,array,+506 8697 7557,+50686977557,,hotelcasavito,https://www.instagram.com/hotelcasavito/,https://www.facebook.com/hotelcasavito,9002517690753030013,2026-03-19,active,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-casa-vito/,direct_profile_check,2026-07-04,high,high,true,2026-07-04,,,,,,,"Rooms and suites with private bath, A/C, TV, internet, minifridge, microwave and breakfast. Apartment with kitchen also available. 4.9 / 5 rating on Google Maps  8.9 / 10 rating on Booking.com"
Hotel Infiniti,hotel,Puerto Viejo,9.655938,-82.75219,0.136,pass,area_included:Puerto Viejo,array,+506 6055-5149,+50660555149,,,,,17030940291864121871,2026-03-24,active,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-infiniti/,,,,removed,false,2026-07-04,,,,,,,"Centrally located hotel. All rooms are clean and equipped with new bedding, air conditioning, refrigerator, bicycle rental and complimentary breakfast. They also rent Villa Infiniti near Hone Creek which is a 5 bedroom, 3 bathroom home with pool, large kitchen and a fenced secure property. 4.9 / 5 rating on Google Maps  7.9 / 10 rating on Booking.com"
Hotel Mandacarú,hotel,Puerto Viejo,9.658684,-82.750289,0.492,pass,area_included:Puerto Viejo,array,+506 2750-0232,+50627500232,,,,https://www.facebook.com/people/Hotel-Mandacar%C3%BA-Puerto-Viejo/61557680849228/,11442698979892556145,2026-03-15,active,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-mandacaru/,,,,removed,false,2026-07-04,,,,,,,"Lodging with garden and swimming pool, free private parking and equipped shared kitchen. Double and king rooms and an apartment. Massage services and bicycle, electric scooter and motorcycle rentals are available. Pets are accepted and free wifi is available. 3.3 / 5 rating on Google Maps  7.2 / 10 rating on Booking.com"
Hotel Pura Vida,hotel,Puerto Viejo,9.65532,-82.753315,0.009,pass,area_included:Puerto Viejo,array,+506 8570 9768,+50685709768,,hotelpuravida,https://www.instagram.com/hotelpuravida/,https://www.facebook.com/Hotel-Pura-Vida-130527740457772/,5253894431951431984,2026-03-21,active,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-pura-vida/,direct_profile_check,2026-07-04,high,high,true,2026-07-04,+50685709768,,,,,,"In a quiet location on the edge of downtown Puerto Viejo. Ten large, light-filled and airy rooms, some with private baths and some with shared facilities. All of the rooms have sinks, reading lights, mosquito nets, and fans. Fresh towels, sheets, and daily room cleaning are included. Hosted by a Chilean/German couple. 4.4 / 5 rating on Google Maps  8.9 / 10 rating on Booking.com  4.3 / 5 rating on Tripadvisor"
Hotel Tropical,hotel,Puerto Viejo,9.656609,-82.751619,0.228,pass,area_included:Puerto Viejo,array,+506 2750 2064,+50627502064,,hoteltropical,https://www.instagram.com/hoteltropical/,https://www.facebook.com/rolfblancketours,,2026-04-02,active,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-tropical/,direct_profile_check,2026-07-04,high,high,true,2026-07-04,,,,,,,"Eleven rooms set among a tropical fruit and spice garden. All rooms with private bath, small terrace, tv. Some with A/C. Previously called Posada Nena. 4.4 / 5 rating on Google Maps  8.2 / 10 rating on Booking.com"
Indalo Hotel Boutique,hotel,Puerto Viejo,9.656353,-82.750577,0.317,pass,area_included:Puerto Viejo,array,+506 2750 0826,+50627500826,,,,,4424059130614434174,2026-03-28,active,https://www.puertoviejosatellite.com/en/puerto-viejo/indalo-hotel-boutique/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"Stylish boutique hotel located on a quiet street near the center of Puerto Viejo. Air-conditioned rooms offer whitewashed décor and a terrace. Each one has a wardrobe, a fridge and a private bathroom with a shower and hot water. 4.6 / 5 rating on Google Maps  9.2 / 10 rating on Booking.com  4.4 / 5 rating on Tripadvisor"
Lizard King Hotel,hotel,Puerto Viejo,9.658758,-82.750204,0.505,pass,area_included:Puerto Viejo,array,+506 2750 0614,+50627500614,,,,https://www.facebook.com/LizardKingResortPuertoViejo,11779773565011173435,2026-03-30,active,https://www.puertoviejosatellite.com/en/puerto-viejo/lizard-king-hotel/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"Located just a 5-minute walk from the heart of Puerto Viejo, this hotel has  comfortable and clean air conditioned rooms and a swimming pool. They offer rooms and suites with kitchenettes. 3.6 / 5 rating on Google Maps  8.1 / 10 rating on Booking.com"
Maritza Hotel,hotel,Puerto Viejo,9.657084,-82.755346,0.292,pass,area_included:Puerto Viejo,array,+506 2750 0003,+50627500003,,,,https://www.facebook.com/Hotel-Maritza-154549154913516/,7612264151773034204,2026-03-22,active,https://www.puertoviejosatellite.com/en/puerto-viejo/maritza-hotel/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"Centrally located hotel offering rooms with private bath, cable TV, A/C, wifi, fridge, safe. The property also has a shared kitchen, parking, 24 hour reception. They also offer a 2 bedroom apartment with kitchen. 4.3 / 5 rating on Google Maps  8.7 / 10 rating on Booking.com  3.9 / 5 rating on Tripadvisor"
Namu Garden Hotel and Spa,hotel,Puerto Viejo,9.653123,-82.754398,0.28,pass,area_included:Puerto Viejo,array,+506 8789 6070,+50687896070,,namugardenhotelspa,https://www.instagram.com/namugardenhotelspa,https://www.facebook.com/profile.php?id=61550604153566,18141110668997261824,2026-03-28,active,https://www.puertoviejosatellite.com/en/puerto-viejo/namu-garden-hotel-and-spa/,,,,verified,true,2026-07-04,,,,,,,"Hotel with luxurious rooms, suites and a villa in a lush garden setting. Some units with private pools. Spa. NÚM restaurant, café and bar. 4.6 / 5 rating on Google Maps  9.1 / 10 rating on Booking.com  4.5 / 5 rating on Tripadvisor"
Olinca Boutique Hotel,hotel,Puerto Viejo,9.657426,-82.75013,0.414,pass,area_included:Puerto Viejo,array,+506 2229 5495,+50622295495,,olincaboutiquehotel,https://www.instagram.com/olincaboutiquehotel,,17724938072232701259,2026-03-30,active,https://www.puertoviejosatellite.com/en/puerto-viejo/olinca-boutique-hotel/,,,,verified,true,2026-07-04,,,,,,,"Boutique hotel and restaurant with 18 suites and villas set around a pool. Suites available in double, triple and quad options, all with A/C and private bath as well as two bedroom villas with kitchen. Breakfast included. 4.6 / 5 rating on Google Maps  8.8 / 10 rating on Booking.com"
Sueño Grande Bed and Breakfast,hotel,Puerto Viejo,9.657792,-82.750629,0.396,pass,area_included:Puerto Viejo,array,+506 7205 9392,+50672059392,,suenograndepv,https://www.instagram.com/suenograndepv,https://www.facebook.com/DreamBiginPV,5641578059331896840,2026-04-01,active,https://www.puertoviejosatellite.com/en/puerto-viejo/sueno-grande-bed-and-breakfast/,,,,verified,true,2026-07-04,+50672059392,,,,,,"This B&B in the heart of Puerto Viejo offers 3 suites or the tropical wood home. Located 2 blocks from the sea with a private courtyard, pool and Wi-fi. Suites offer AC, kitchenettes, organic amenities and continental breakfast. The tropical wood home sleeps 4, with one king and one queen bedroom, a kitchenette, private seating area, screened windows and  ceiling fans, spacious bath with hot water. 4.7 / 5 rating on Google Maps  9.6 / 10 rating on Booking.com  4.7 / 5 rating on Tripadvisor"
La Tica y La Gata,hotel,Puerto Viejo,9.654492,-82.744791,0.938,pass,area_included:Puerto Viejo,array,+506 8756 0823,+50687560823,,laticaylagata,https://www.instagram.com/laticaylagata,https://www.facebook.com/laticaylagata,11047054352277007542,2026-05-21,active,https://www.puertoviejosatellite.com/en/puerto-viejo/la-tica-y-la-gata/,,,,verified,true,2026-07-04,,,,,,,"Spacious one and two bedroom casas in a complex with pool. All units have A/C, wifi, their own kitchen and terrace. 4.8 / 5 rating on Google Maps  9.2 / 10 rating on Booking.com  5.0 / 5 rating on Tripadvisor"
Umami Hotel Garden Spa,hotel,Puerto Viejo,9.655954,-82.750633,0.299,pass,area_included:Puerto Viejo,array,+506 2750 3200,+50627503200,,,,https://www.facebook.com/umamihotel,9701222676819002481,2026-03-26,active,https://www.puertoviejosatellite.com/en/puerto-viejo/umami-hotel-garden-spa/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"Luxury boutique hotel  with rooms and 2 bedroom apartments set around a pool. All rooms with terrace, A/C, Wi-fi. cable TV, minibar, in-room safe. Facilities onsite include the Mar y Sal restaurant and Umami Spa. 4.6 / 5 rating on Google Maps  9.0 / 10 rating on Booking.com  4.4 / 5 rating on Tripadvisor"
Yucca Beachfront Hotel,hotel,Puerto Viejo,9.659462,-82.750116,0.571,pass,area_included:Puerto Viejo,array,+506 2750 0285,+50627500285,,,,https://www.facebook.com/cabinasyucca,6124202353518117731,2026-03-25,active,https://www.puertoviejosatellite.com/en/puerto-viejo/yucca-beachfront-hotel/,,,,removed,false,2026-07-04,,,,,,,"Oceanview bungalows suitable for 1 to 4 persons. Some with kitchen. All with private baths, terrace with hammock, mini safe, ceiling fan, wifi. Shared communal kitchen and rancho with table tennis. 4.4 / 5 rating on Google Maps  8.6 / 10 rating on Booking.com"
"Banana Azul - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.658152,-82.773207,2.204,pass,area_included:Playa Negra,array,+506 2750-2035,+50627502035,,hotelbananaazul,https://www.instagram.com/hotelbananaazul,https://www.facebook.com/BananaAzul,3301165288581347626,2026-03-04,active,https://www.puertoviejosatellite.com/en/playa-negra/banana-azul/,,,,verified,true,2026-07-04,,,,,https://twitter.com/BananaAzul,https://twitter.com/BananaAzul,"Tropical Beachfront Boutique Hotel with 25 rooms Located on the quiet sandy beach of Playa Negra.  Banana Azul is limited to adults over age of 16 and offers restaurant, bar, pool and tour kiosk. Beach views, tropical gardens, comfortable rooms, many with A/C, & friendly staff. 4.5 / 5 rating on Google Maps  8.3 / 10 rating on Booking.com"
"Cabinas Kuákua - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.651052,-82.768973,1.785,pass,area_included:Playa Negra,array,+506 8960 7794,+50689607794,,cabinaskuakua,https://www.instagram.com/cabinaskuakua,,11219479455997326756,2025-02-28,active,https://www.puertoviejosatellite.com/en/playa-negra/cabinas-kuakua/,,,,verified,true,2026-07-04,+50689607794,,,,,,"Small hotel with 6 rooms over two floors each with two beds, private bath.  Rancho with fully equipped shared kitchen & lounge/dining area."
"Casa Luce - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.654917,-82.772246,2.078,pass,area_included:Playa Negra,array,+506 8953 6016,+50689536016,,,,,17469621114106254322,2025-12-16,active,https://www.puertoviejosatellite.com/en/playa-negra/casa-luce/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,Hotel with rooms with kitchenettes. Breakfast included. 4.7 / 5 rating on Google Maps  9.3 / 10 rating on Booking.com
"Casitas Las Flores - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.650794,-82.765361,1.418,pass,area_included:Playa Negra,array,+506 8343 7810,+50683437810,,casitaslasflores,https://www.instagram.com/casitaslasflores/,https://www.facebook.com/casitas.lasflores,13885126780319428127,2025-12-17,active,https://www.puertoviejosatellite.com/en/playa-negra/casitas-las-flores/,direct_profile_check,2026-07-04,high,high,true,2026-07-04,,,,,,,"Property nestled in the jungle 1 km from Puerto Viejo and 300 m from Playa Negra. All bungalows have a porch with garden views, a private bathroom including free toiletries and each bedroom is equipped with a fan and a mosquito net over the bed. Larger bungalows are equipped with a full kitchen with stove, fridge and kitchenware as well as a dining area. The smaller bungalow has a fridge in the room but it does not have a kitchen or dining area. 4.6 / 5 rating on Google Maps  9.1 / 10 rating on Booking.com"
"Hidden Jungle Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.65329,-82.757931,0.559,pass,area_included:Playa Negra,array,+506 8310 5061,+50683105061,,hidden.jungle.beach.house,https://www.instagram.com/hidden.jungle.beach.house,,,2026-05-21,active,https://www.puertoviejosatellite.com/en/playa-negra/hidden-jungle-beach-house/,,,,verified,true,2026-07-04,+50683105061,,,,,,Small guest house with four guest rooms. You'll share the 2 bathrooms and the kitchen with the owners and other guests. The whole house can also be rented for up to 9 people. 4.6 / 5 rating on Google Maps  8.6 / 10 rating on Booking.com
"Hotel One Love - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.651005,-82.762491,1.12,pass,area_included:Playa Negra,array,+506 8408 8073,+50684088073,,,,,14996707988450888278,2025-04-23,active,https://www.puertoviejosatellite.com/en/playa-negra/hotel-one-love/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"Hotel and hostel with rooms, dorms and an apartment. 4.2 / 5 rating on Google Maps  7.7 / 10 rating on Booking.com"
"Iguana Lodge - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.656519,-82.776487,2.545,pass,area_included:Playa Negra,array,+506 6353 5394,+50663535394,,iguanalodge,https://www.instagram.com/iguanalodge/,,8482617327334657480,2025-12-15,active,https://www.puertoviejosatellite.com/en/playa-negra/iguana-lodge/,direct_profile_check,2026-07-04,high,high,true,2026-07-04,,,,,,,"Hotel with pool and jacuzzi offering double rooms with 2 beds, microwave, coffee maker, A/C. 3.0 / 5 rating on Google Maps  10.0 / 10 rating on Booking.com"
"Kaya's Place - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.653761,-82.758627,0.612,pass,area_included:Playa Negra,array,+506 2750-0690,+50627500690,,kayasplace,https://www.instagram.com/kayasplace/,https://www.facebook.com/kayasplace,8816532573875491055,2025-07-28,active,https://www.puertoviejosatellite.com/en/playa-negra/kayas-place/,direct_profile_check,2026-07-04,high,high,true,2026-07-04,,,,,,,"26 room lodge on the Black Beach. Built in the Afro-Caribbean ""Rustico"" style, the hotel is artistic and unique. Variety of rooms from shared bath to suites to cabins. Onsite restaurant, bar and micro-craft brewery. Hotel also called Hotel Playa Negra Brewing. 3.8 / 5 rating on Google Maps  5.8 / 10 rating on Booking.com"
