business_name,phone,website,instagram_handle,instagram_url,facebook_url,google_maps_cid,category,area,description,url,verified_date,operating_status,source
"Boca Chica Bar Restaurante y Piscina - Cahuita, Limón, Costa Rica",,https://www.tkqlhce.com/click-2369666-11552042?url=https%3A%2F%2Fwww.tripadvisor.com%2FRestaurant_Review-g309262-d2316096-Reviews-Restaurante_Bar_Boca_Chica-Cahuita_Province_of_Limon.html,,,,,restaurant,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/boca-chica-bar-restaurante-y-piscina/,2025-07-30,active,pvs_cache
"Bohemian Monkey - Cahuita, Limón, Costa Rica",+506 8403 8662,https://www.hotels.com/affiliate/23vmX6C,,,,,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/bohemian-monkey/,2025-11-28,active,pvs_cache
"Bomberos Bribri - Bribri, Limón, Costa Rica",+506 2751 0347,,bomberos_costa_rica,https://www.instagram.com/bomberos_costa_rica/,,1663157003072952926,services,Bribri,Get directions,https://www.puertoviejosatellite.com/en/bribri/bomberos-bribri/,2025-01-31,active,pvs_cache
"Brigitte's Ranch - Cahuita, Limón, Costa Rica",+506 2755 0053,,,,,8600435400283546373,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/brigittes-ranch/,2025-09-22,active,pvs_cache
"Bungalow Malú Lodge - Cahuita, Limón, Costa Rica",+506 2755 0114,,bungalowmalu,https://www.instagram.com/bungalowmalu/,https://www.facebook.com/bungalowsmalulodge,13905258454095862905,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/bungalow-malu-lodge/,2025-09-20,active,pvs_cache
"Bungalows Ache - Cahuita, Limón, Costa Rica",+506 2755 0119,,,,,,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/bungalows-ache/,2025-09-26,active,pvs_cache
"Bungalows Sloth - Manzanillo, Limón, Costa Rica",+506 7004 0405,,bungalowslothcr,https://www.instagram.com/bungalowslothcr/,https://www.facebook.com/p/Bungalows-Sloth-Costa-Rica-100088285026224/,2126825620796412684,hotel,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/bungalows-sloth/,2025-09-21,active,pvs_cache
"Cabinas Algebra - Cahuita, Limón, Costa Rica",+506 2755 0057,,,,,,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/cabinas-algebra/,2025-09-19,active,pvs_cache
"Cabinas Arrecife - Cahuita, Limón, Costa Rica",+506 8375 0837,,,,https://www.facebook.com/cabinasarrecifecahuita,3940028396006347032,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/cabinas-arrecife/,2026-02-16,active,pvs_cache
"Cabinas Caribe Luna - Cahuita, Limón, Costa Rica",+506 2755 0131,,,,https://www.facebook.com/CabinasCaribeLuna,12615318204214004945,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/cabinas-caribe-luna/,2025-09-28,active,pvs_cache
"Cabinas El Imperio - Sixaola, Limón, Costa Rica",+506 8622 3931,,,,,,hotel,Sixaola,Get directions,https://www.puertoviejosatellite.com/en/sixaola/cabinas-el-imperio/,2025-04-08,active,pvs_cache
"Cabinas El Mango - Bribri, Limón, Costa Rica",+506 8996 2637,,cabinaselmango,https://www.instagram.com/cabinaselmango/,https://www.facebook.com/cabinaselmango,16765429282184001872,hotel,Bribri,Get directions,https://www.puertoviejosatellite.com/en/bribri/cabinas-el-mango/,2025-10-03,active,pvs_cache
"Cabinas El Rinconcito - Gandoca, Limón, Costa Rica",+506 2754 1060,,,,https://www.facebook.com/Cabinas-El-Rinconcito-303375840072459/,,hotel,Gandoca,Get directions,https://www.puertoviejosatellite.com/en/gandoca/cabinas-el-rinconcito/,2025-08-08,active,pvs_cache
"Cabinas Iguana Cahuita - Cahuita, Limón, Costa Rica",+506 2755 0005,,,,,994897304144940609,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/cabinas-iguana-cahuita/,2025-09-28,active,pvs_cache
"Cabinas Jenny - Cahuita, Limón, Costa Rica",+506 2755-0256,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Hotel_Review-g309262-d310421-Reviews-Jenny_s_Cabinas-Cahuita_Province_of_Limon.html,cabinas_jenny,https://www.instagram.com/cabinas_jenny/,https://www.facebook.com/cabinas.jenny,,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/cabinas-jenny/,2025-09-23,active,pvs_cache
"Cabinas Nirvana Ecolodge - Cahuita, Limón, Costa Rica",+506 2755 0110,,,,,16881576397853312303,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/cabinas-nirvana-ecolodge/,2025-09-22,active,pvs_cache
"Cabinas Palmer Makanda - Cahuita, Limón, Costa Rica",+506 2755 0435,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Hotel_Review-g309262-d4702853-Reviews-Cabinas_Palmer_Makanda-Cahuita_Province_of_Limon.html,cabinas_palmer_makanda,https://www.instagram.com/cabinas_palmer_makanda/,https://www.facebook.com/Cabinas-Palmer-Cahuita-216541592108435/,,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/cabinas-palmer-makanda/,2025-08-01,active,pvs_cache
"Cabinas Smith - Cahuita, Limón, Costa Rica",+506 7058 2207,,,,,7820493530245767869,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/cabinas-smith/,2025-08-03,active,pvs_cache
"Cabinas Surf Side - Cahuita, Limón, Costa Rica",+506 8858 8659,,,,,11022406936380395131,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/cabinas-surf-side/,2025-09-26,active,pvs_cache
"Cabinas Tito - Cahuita, Limón, Costa Rica",+506 2755 0286,,,,https://www.facebook.com/Cabinas-Tito-138321862895258/,,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/cabinas-tito/,2025-09-20,active,pvs_cache
"Cabinas YaMann - Manzanillo, Limón, Costa Rica",+506 2759 9121,,,,https://www.facebook.com/pages/cabinas-yamann/308895395682,17823151304931402344,hotel,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/cabinas-yamann/,2025-09-22,active,pvs_cache
"Cahuita Bus Station - Cahuita, Limón, Costa Rica",+506 2755-1011,,,,,17472323950177417062,tour_company,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/cahuita-bus-station/,2025-06-20,active,pvs_cache
"Cahuita Inn - Cahuita, Limón, Costa Rica",+506 2755 0179,,,,https://www.facebook.com/cahuitainn,11302666839265256136,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/cahuita-inn/,2025-12-29,active,pvs_cache
"Cahuita Lodge - Cahuita, Limón, Costa Rica",+506 8827 2815,,cahuitalodge,https://www.instagram.com/cahuitalodge/,,11730759668778876911,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/cahuita-lodge/,2025-08-16,active,pvs_cache
"Cahuita National Park Hotel - Cahuita, Limón, Costa Rica",+506 2755 0244,,,,https://www.facebook.com/Bar-Restaurant-Cahuita-National-Park-554166991393346,,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/cahuita-national-park-hotel/,2025-07-26,active,pvs_cache
"Canto del Mar Guest House - Gandoca, Limón, Costa Rica",+506 8314 3297,,,,https://www.facebook.com/cantodelmarguesthouse,11739581266027333241,hotel,Gandoca,Get directions,https://www.puertoviejosatellite.com/en/gandoca/canto-del-mar-guest-house/,2023-12-14,active,pvs_cache
"Caribbean Blue House - Cahuita, Limón, Costa Rica",+506 8342 7837,,caribbeanbluehouse,https://www.instagram.com/caribbeanbluehouse/,https://www.facebook.com/Caribbean.bluehouse,16920166315638827115,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/caribbean-blue-house/,2025-08-29,active,pvs_cache
"Caribbean Coconut - Cahuita, Limón, Costa Rica",+506 8673 2557,,,,,12085822181071781545,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/caribbean-coconut/,2026-01-02,active,pvs_cache
"Casa Congo Cahuita - Cahuita, Limón, Costa Rica",,,,,https://www.facebook.com/CasaCongoCahuita,10854532050659240693,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/casa-congo-cahuita/,2025-09-28,active,pvs_cache
"Casa Firefly Boutique Retreat - Cahuita, Limón, Costa Rica",,,casafirefly,https://www.instagram.com/casafirefly/,https://www.facebook.com/boutiquecahuita,,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/casa-firefly-boutique-retreat/,2025-08-20,active,pvs_cache
"Casa Lucas - Cahuita, Limón, Costa Rica",,,,,,17824185107689877044,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/casa-lucas/,2026-01-02,active,pvs_cache
"Casa Magdalena - Cahuita, Limón, Costa Rica",+506 8914 7675,,,,,,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/casa-magdalena/,2025-08-07,active,pvs_cache
"Casa Mambo Cahuita - Cahuita, Limón, Costa Rica",+506 8327 9335,,,,,13303503940894650235,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/casa-mambo-cahuita/,2025-12-31,active,pvs_cache
"Casa Marcellino - Cahuita, Limón, Costa Rica",+506 2755 0390,,,,https://www.facebook.com/casamarcellino.lodge,5829604901849171734,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/casa-marcellino/,2025-09-24,active,pvs_cache
"Casa Namaitamí - Cahuita, Limón, Costa Rica",+506 6008 9241,,,,,8825947300590124587,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/casa-namaitami/,2025-12-31,active,pvs_cache
"Casa Verde Cahuita - Cahuita, Limón, Costa Rica",+506 8870 8120,,,,,15719999190465539169,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/casa-verde-cahuita/,2025-07-18,active,pvs_cache
"Casas Del Mar - Manzanillo, Limón, Costa Rica",+506 8396 5978,,casasdelmarmanzanillo,https://www.instagram.com/casasdelmarmanzanillo/,,,vacation_rental,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/casas-del-mar/,2025-09-16,active,pvs_cache
"Centro Educativo Complementaria Cahuita - Cahuita, Limón, Costa Rica",+506 2755 0129,https://complementaria.co.cr/,centroeducativolacomple,https://www.instagram.com/centroeducativolacomple/,https://www.facebook.com/ComplementariaCahuita,16211630521756150882,services,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/centro-educativo-complementaria-cahuita/,2025-09-19,active,pvs_cache
"Chao's Paradise - Cahuita, Limón, Costa Rica",+506 8950 2546,,chaos_paradise2011,https://www.instagram.com/chaos_paradise2011/,https://www.facebook.com/Chaos-Paradise-249240515095997/,15813957405519010877,restaurant,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/chaos-paradise/,2025-06-28,active,pvs_cache
"Chile Verde - Manzanillo, Limón, Costa Rica",+506 8396 3247,,,,,6304189307372846359,vacation_rental,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/chile-verde/,2025-09-21,active,pvs_cache
"Ciudad Perdida Ecolodge - Cahuita, Limón, Costa Rica",+506 2755 0303,,ciudad_perdida_ecolodge,https://www.instagram.com/ciudad_perdida_ecolodge/,https://www.facebook.com/profile.php?id=100054448692042,8861421744260324499,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/ciudad-perdida-ecolodge/,2025-07-17,active,pvs_cache
"Clinica Dental OCI Cahuita - Cahuita, Limón, Costa Rica",+506 8457 9613,,,,https://www.facebook.com/Dentallcinicoci,8625510128460244741,services,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/clinica-dental-oci-cahuita/,2025-07-25,active,pvs_cache
"Clínica de Medicina Integral Bribri - Bribri, Limón, Costa Rica",+506 7222 6452,,,,https://www.facebook.com/clinicaenbribri,15931105907700979601,services,Bribri,Get directions,https://www.puertoviejosatellite.com/en/bribri/clinica-de-medicina-integral-bribri/,2025-10-02,active,pvs_cache
"Colibri Lodge Gandoca - Gandoca, Limón, Costa Rica",+506 2754 1057,,colibrilodgegandoca,https://www.instagram.com/colibrilodgegandoca/,,528214679408125557,hotel,Gandoca,Get directions,https://www.puertoviejosatellite.com/en/gandoca/colibri-lodge-gandoca/,2025-10-04,active,pvs_cache
"Colores Restaurant and Beach Lounge - Manzanillo, Limón, Costa Rica",+506 6203 0798,,coloresrestaurantandbeachloung,https://www.instagram.com/coloresrestaurantandbeachloung/,https://www.facebook.com/Coloresrestaurantandbeachlounge,3520970534557309146,restaurant,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/colores-restaurant-and-beach-lounge/,2025-09-11,active,pvs_cache
"Congo Bongo EcoVillage - Manzanillo, Limón, Costa Rica",+506 2759 9016,https://www.congo-bongo.com/,congobongocr,https://www.instagram.com/congobongocr/,https://www.facebook.com/CongoBongoCR,9322669409493347402,hotel,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/congo-bongo-ecovillage/,2026-04-24,active,pvs_cache
"Container House Cahuita - Cahuita, Limón, Costa Rica",+506 8335 2099,,,,https://www.facebook.com/containerhousecahuita,14380415623970739171,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/container-house-cahuita/,2025-08-26,active,pvs_cache
"Cool and Calm Cafe - Manzanillo, Limón, Costa Rica",,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g1644063-d4741756-Reviews-Cool_Calm_Cafe-Manzanillo_Province_of_Limon.html,,,,15849146102448801527,restaurant,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/cool-and-calm-cafe/,2025-09-05,active,pvs_cache
"Coral Vet - Cahuita, Limón, Costa Rica",+506 8686 6886,,coralvetcr,https://www.instagram.com/coralvetcr/,https://www.facebook.com/Coralvetcr,16408576464930361263,services,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/coral-vet/,2025-04-29,active,pvs_cache
"Cruz Roja - Bribri, Limón, Costa Rica",+506 2751 0141,https://www.cruzroja.or.cr/,,,https://www.facebook.com/crcregionlimon,657883797543242654,services,Bribri,Get directions,https://www.puertoviejosatellite.com/en/bribri/cruz-roja/,2025-01-31,active,pvs_cache
"El Arbol Jungle Houses - Manzanillo, Limón, Costa Rica",+506 8721 3949,,,,,,vacation_rental,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/el-arbol-jungle-houses/,2025-09-22,active,pvs_cache
"El Colibri Lodge - Manzanillo, Limón, Costa Rica",+506 2759 9036,,,,,10814072515975103387,hotel,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/el-colibri-lodge/,2025-09-20,active,pvs_cache
"El Colibri Rojo - Cahuita, Limón, Costa Rica",+506 2755 0431,,,,https://www.facebook.com/elcolibrirojo,,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/el-colibri-rojo/,2025-09-27,active,pvs_cache
El Dragón,+506 6410 0334,https://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d19939214-Reviews-El_Dragon-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,,,https://www.facebook.com/ElDragon.pv,15307063167947850855,restaurant,Puerto Viejo,Get directions,https://www.puertoviejosatellite.com/en/puerto-viejo/el-dragon/,2026-03-22,active,pvs_cache
"El Encanto Hotel - Cahuita, Limón, Costa Rica",+506 2755 0113,,,,https://www.facebook.com/Hotel-El-Encanto-Cahuita-122943074430020/,8813389579965277531,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/el-encanto-hotel/,2025-12-31,active,pvs_cache
"Exotico Beach - Manzanillo, Limón, Costa Rica",+506 6411 3165,,exoticobeach,https://www.instagram.com/exoticobeach/,https://www.facebook.com/nov23.ebh,9510139176755946037,hotel,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/exotico-beach/,2025-12-16,active,pvs_cache
"Faith Glamping Dome - Manzanillo, Limón, Costa Rica",+506 2750 0696,,faithglampingdomecr,https://www.instagram.com/faithglampingdomecr/,https://www.facebook.com/faithglampingdomecr,4259348950167927907,hotel,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/faith-glamping-dome/,2025-09-20,active,pvs_cache
"Farmacia Quiribri Cahuita - Cahuita, Limón, Costa Rica",+506 2755 0505,,,,https://www.facebook.com/Farmacia-Quiribri-236147727466/,17999991182202754642,shopping,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/farmacia-quiribri-cahuita/,2025-09-30,active,pvs_cache
"Farmacia San Gabriel - Cahuita, Limón, Costa Rica",+506 2755 0210,,,,https://www.facebook.com/FarmaciaSanGabrielCahuita,9409071117936930456,shopping,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/farmacia-san-gabriel/,2025-07-23,active,pvs_cache
"Fusión Restaurante - Sixaola, Limón, Costa Rica",+506 6238 3809,,,,https://www.facebook.com/p/Fusi%C3%B3n-Restaurante-61560392795414/,1530710866481715684,restaurant,Sixaola,Get directions,https://www.puertoviejosatellite.com/en/sixaola/fusion-restaurante/,2025-08-28,active,pvs_cache
"Gandoca Tours - Gandoca, Limón, Costa Rica",+506 8762 8848,,gandocatours,https://www.instagram.com/gandocatours/,https://www.facebook.com/GandocaTours,369095546087240155,tour_company,Gandoca,Get directions,https://www.puertoviejosatellite.com/en/gandoca/gandoca-tours/,2025-10-01,active,pvs_cache
"Goddess Garden - Cahuita, Limón, Costa Rica",+506 2755 0070,,thegoddessgarden,https://www.instagram.com/thegoddessgarden/,https://www.facebook.com/thegoddessgarden,186463717107051484,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/goddess-garden/,2025-09-26,active,pvs_cache
"Green Corner - Cahuita, Limón, Costa Rica",,,,,,8586190007161993067,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/green-corner/,2025-12-31,active,pvs_cache
"Green Lapa's Village - Manzanillo, Limón, Costa Rica",+506 6184 2373,,greenlapasvillage,https://www.instagram.com/greenlapasvillage/,,9791432593542222900,vacation_rental,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/green-lapas-village/,2025-12-18,active,pvs_cache
"Hakuna Matata Hostel - Cahuita, Limón, Costa Rica",+506 2755 1225,,hostelhakunamatata,https://www.instagram.com/hostelhakunamatata/,https://www.facebook.com/hostelincahuita,444550623725401269,hostel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/hakuna-matata-hostel/,2025-11-15,active,pvs_cache
"Happy House Manzanillo - Manzanillo, Limón, Costa Rica",,https://vrbo.com/affiliate/pWzjiFo,happyhousecostarica,https://www.instagram.com/happyhousecostarica/,https://www.facebook.com/profile.php?id=100075797204148,7613918281459191152,vacation_rental,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/happy-house-manzanillo/,2025-09-13,active,pvs_cache
"Hotel Boutique D'Angelo - Manzanillo, Limón, Costa Rica",+506 7291 2426,,,,https://www.facebook.com/profile.php?id=100064102569308,13214603253697214599,vacation_rental,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/hotel-boutique-dangelo/,2025-09-26,active,pvs_cache
"Hotel Cabinas Nadine - Cahuita, Limón, Costa Rica",+506 8484 4586,,,,https://www.facebook.com/HotelCabinasIguanaVerdeCahuita/,353287636532313894,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/hotel-cabinas-nadine/,2025-09-02,active,pvs_cache
"Hotel La Diosa - Cahuita, Limón, Costa Rica",+506 2755 0055,,,,https://www.facebook.com/hotelladiosa,12163838727176411611,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/hotel-la-diosa/,2025-12-31,active,pvs_cache
"Hotel Los Cielos del Caribe - Cahuita, Limón, Costa Rica",+506 8518 0187,,villasloscielosdelcaribe,https://www.instagram.com/villasloscielosdelcaribe/,https://www.facebook.com/HotelLosCielosdelCaribe,17152278174809306212,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/hotel-los-cielos-del-caribe/,2025-12-31,active,pvs_cache
"Hungry Lion's Jamaican Restaurant - Cahuita, Limón, Costa Rica",+506 2755 0214,,,,,7931758129028338854,restaurant,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/hungry-lions-jamaican-restaurant/,2025-02-06,active,pvs_cache
"Info Boutique - Cahuita, Limón, Costa Rica",+506 2755 0168,,,,,16153266066667852472,shopping,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/info-boutique/,2025-04-29,active,pvs_cache
"Jungle Dreamz - Manzanillo, Limón, Costa Rica",+506 8315 7245,,,,https://www.facebook.com/pages/Jungle-Dreamz/114455975236832,,vacation_rental,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/jungle-dreamz/,2025-08-04,active,pvs_cache
"Kañik Apart Hotel - Manzanillo, Limón, Costa Rica",+506 4350 0806,,kanikapartahotel,https://www.instagram.com/kanikapartahotel/,,918804293272785482,vacation_rental,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/kanik-apart-hotel/,2025-11-26,active,pvs_cache
"Kenaki Lodge - Cahuita, Limón, Costa Rica",+506 2755 0485,,kenakilodge,https://www.instagram.com/kenakilodge/,https://www.facebook.com/pages/Kenaki-Lodge/194675713985418,5472805211653745581,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/kenaki-lodge/,2025-09-30,active,pvs_cache
"La Casa Del Mango - Cahuita, Limón, Costa Rica",+506 8801-2963,,la_casa_del_mango,https://www.instagram.com/la_casa_del_mango/,https://www.facebook.com/lacasadelmango,3403734860617253025,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/la-casa-del-mango/,2025-09-25,active,pvs_cache
"La Casa de las Flores Hotel - Cahuita, Limón, Costa Rica",+506 2755 0326,,,,,,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/la-casa-de-las-flores-hotel/,2025-09-20,active,pvs_cache
"La Fundación Cahuita Playing for Change - Cahuita, Limón, Costa Rica",+506 8311 4971,https:///playingforchange.org/cahuita-music-program/,fundacioncahuitapfc,https://www.instagram.com/fundacioncahuitapfc/,https://www.facebook.com/CahuitaMusicProgram,,services,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/la-fundacion-cahuita-playing-for-change/,2025-12-14,active,pvs_cache
"La Rana De Cahuita - Cahuita, Limón, Costa Rica",+506 8428 5077,,laranadecahuitalodge,https://www.instagram.com/laranadecahuitalodge/,https://www.facebook.com/laranadecahuita,11801731566865996686,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/la-rana-de-cahuita/,2025-09-29,active,pvs_cache
"La Shamana Ecolodge - Cahuita, Limón, Costa Rica",+506 8471 5831,http://www.lashamana.com/,ecolodge_lashamana,https://www.instagram.com/ecolodge_lashamana/,https://www.facebook.com/lashamanaecolodge,16726434082337585414,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/la-shamana-ecolodge/,2026-01-30,active,pvs_cache
"Lalola Villa - Cahuita, Limón, Costa Rica",+506 8759 1675,,,,,4188662448855075824,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/lalola-villa/,2025-12-23,active,pvs_cache
"Lilan Nature - Cahuita, Limón, Costa Rica",+506 2755 1180,,,,,7842934647721083510,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/lilan-nature/,2025-12-26,active,pvs_cache
"Manzanillo Caribbean Resort - Manzanillo, Limón, Costa Rica",+506 8774 1940,,manzanilloresortcr,https://www.instagram.com/manzanilloresortcr/,https://www.facebook.com/manzanilloresort,7812100596306456251,hotel,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/manzanillo-caribbean-resort/,2025-12-18,active,pvs_cache
"Marfi Inn - Cahuita, Limón, Costa Rica",+506 8703 3928,,,,,1016397361328131166,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/marfi-inn/,2025-09-21,active,pvs_cache
