business_name,category,area,latitude,longitude,distance_km,geofilter,geofilter_reason,coordinate_source,phone,normalized_phone,website,instagram_handle,instagram_url,facebook_url,google_maps_cid,verified_date,operating_status,url,instagram_enrich_source,instagram_enrich_date,instagram_enrich_confidence
Cabinas Popular,hotel,Puerto Viejo,9.65643,-82.751674,0.212,pass,area_included:Puerto Viejo,array,+506 2750 0087,+50627500087,,,,,,2026-03-06,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-popular/,,,
Cabinas Talamanca,hotel,Puerto Viejo,9.658405,-82.749143,0.565,pass,area_included:Puerto Viejo,array,+506 2750 0425,+50627500425,,,,,,2026-01-07,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-talamanca/,,,
Casa Ana Kimba,hotel,Puerto Viejo,9.657087,-82.749872,0.42,pass,area_included:Puerto Viejo,array,+506 8888 1968,+50688881968,,,,,13823455026627310391,2026-03-01,active,https://www.puertoviejosatellite.com/en/puerto-viejo/casa-ana-kimba/,,,
Casa Bohö,hotel,Puerto Viejo,9.657995,-82.748907,0.561,pass,area_included:Puerto Viejo,array,+506 8715 1771,+50687151771,,casabohocr,https://www.instagram.com/casabohocr,,8284218495825622354,2026-03-19,active,https://www.puertoviejosatellite.com/en/puerto-viejo/casa-boho/,,,
La Casa de Rolando,hotel,Puerto Viejo,9.656002,-82.751856,0.172,pass,area_included:Puerto Viejo,array,+506 2750 0339,+50627500339,,,,https://www.facebook.com/profile.php?id=100057580384576,,2026-03-24,active,https://www.puertoviejosatellite.com/en/puerto-viejo/la-casa-de-rolando/,,,
Casa Dolce Vita,hotel,Puerto Viejo,9.658089,-82.751514,0.357,pass,area_included:Puerto Viejo,array,+506 2750-0207,+50627500207,,,,https://www.facebook.com/cabinascasadolcevita,,2026-03-14,active,https://www.puertoviejosatellite.com/en/puerto-viejo/casa-dolce-vita/,,,
Casitas La Playa,hotel,Puerto Viejo,9.657925,-82.745814,0.867,pass,area_included:Puerto Viejo,array,+506 5008 2987,+50650082987,,,,https://www.facebook.com/CasitasLaPlayaPuertoViejo,8798809940588504560,2026-03-23,active,https://www.puertoviejosatellite.com/en/puerto-viejo/casitas-la-playa/,,,
Chinuk Boutique Hotel,hotel,Puerto Viejo,9.657502,-82.751496,0.306,pass,area_included:Puerto Viejo,array,+506 6055 5149,+50660555149,,chinuk_rentals_cr,https://www.instagram.com/chinuk_rentals_cr,https://www.facebook.com/profile.php?id=61584666986950,4032204592829800059,2026-05-15,active,https://www.puertoviejosatellite.com/en/puerto-viejo/chinuk-boutique-hotel/,,,
Conga Boutique Hotel,hotel,Puerto Viejo,9.656653,-82.745612,0.854,pass,area_included:Puerto Viejo,array,+506 2750 0681,+50627500681,,,,https://www.facebook.com/profile.php?id=100063725462792,17817187932984436803,2026-03-24,active,https://www.puertoviejosatellite.com/en/puerto-viejo/conga-boutique-hotel/,,,
Escape Caribeño,hotel,Puerto Viejo,9.658574,-82.748481,0.635,pass,area_included:Puerto Viejo,array,+506 2750 0103,+50627500103,,,,https://www.facebook.com/escape.caribeno.5,,2026-03-19,active,https://www.puertoviejosatellite.com/en/puerto-viejo/escape-caribeno/,,,
Exotic Lodge,hotel,Puerto Viejo,9.658765,-82.749794,0.536,pass,area_included:Puerto Viejo,array,+506 6296 7557,+50662967557,,,,,8353070716309943884,2026-03-08,active,https://www.puertoviejosatellite.com/en/puerto-viejo/exotic-lodge/,,,
Family Hotel,hotel,Puerto Viejo,9.657278,-82.750789,0.346,pass,area_included:Puerto Viejo,array,+506 8880 0338,+50688800338,,familyhotelpv,https://www.instagram.com/familyhotelpv,,16910431421739661204,2025-06-09,active,https://www.puertoviejosatellite.com/en/puerto-viejo/family-hotel/,,,
Hostal Cecilia,hotel,Puerto Viejo,9.657362,-82.746545,0.772,pass,area_included:Puerto Viejo,array,+506 2750 0302,+50627500302,,,,https://www.facebook.com/profile.php?id=100063539262338,11938523891103686222,2026-03-22,active,https://www.puertoviejosatellite.com/en/puerto-viejo/hostal-cecilia/,,,
Hotel Casa Vito,hotel,Puerto Viejo,9.657561,-82.745573,0.88,pass,area_included:Puerto Viejo,array,+506 8697 7557,+50686977557,,,,https://www.facebook.com/hotelcasavito,9002517690753030013,2026-03-19,active,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-casa-vito/,,,
Hotel Infiniti,hotel,Puerto Viejo,9.655938,-82.75219,0.136,pass,area_included:Puerto Viejo,array,+506 6055-5149,+50660555149,,hotel.infiniti,https://www.instagram.com/hotel.infiniti,,17030940291864121871,2026-03-24,active,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-infiniti/,,,
Hotel Mandacarú,hotel,Puerto Viejo,9.658684,-82.750289,0.492,pass,area_included:Puerto Viejo,array,+506 2750-0232,+50627500232,,hotelmandacaru.puertoviejo,https://www.instagram.com/hotelmandacaru.puertoviejo,https://www.facebook.com/people/Hotel-Mandacar%C3%BA-Puerto-Viejo/61557680849228/,11442698979892556145,2026-03-15,active,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-mandacaru/,,,
Hotel Pura Vida,hotel,Puerto Viejo,9.65532,-82.753315,0.009,pass,area_included:Puerto Viejo,array,+506 8570 9768,+50685709768,,,,https://www.facebook.com/Hotel-Pura-Vida-130527740457772/,5253894431951431984,2026-03-21,active,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-pura-vida/,,,
Hotel Tropical,hotel,Puerto Viejo,9.656609,-82.751619,0.228,pass,area_included:Puerto Viejo,array,+506 2750 2064,+50627502064,,,,https://www.facebook.com/rolfblancketours,,2026-04-02,active,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-tropical/,,,
Indalo Hotel Boutique,hotel,Puerto Viejo,9.656353,-82.750577,0.317,pass,area_included:Puerto Viejo,array,+506 2750 0826,+50627500826,,,,,4424059130614434174,2026-03-28,active,https://www.puertoviejosatellite.com/en/puerto-viejo/indalo-hotel-boutique/,,,
Lizard King Hotel,hotel,Puerto Viejo,9.658758,-82.750204,0.505,pass,area_included:Puerto Viejo,array,+506 2750 0614,+50627500614,,,,https://www.facebook.com/LizardKingResortPuertoViejo,11779773565011173435,2026-03-30,active,https://www.puertoviejosatellite.com/en/puerto-viejo/lizard-king-hotel/,,,
Maritza Hotel,hotel,Puerto Viejo,9.657084,-82.755346,0.292,pass,area_included:Puerto Viejo,array,+506 2750 0003,+50627500003,,,,https://www.facebook.com/Hotel-Maritza-154549154913516/,7612264151773034204,2026-03-22,active,https://www.puertoviejosatellite.com/en/puerto-viejo/maritza-hotel/,,,
Namu Garden Hotel and Spa,hotel,Puerto Viejo,9.653123,-82.754398,0.28,pass,area_included:Puerto Viejo,array,+506 8789 6070,+50687896070,,namugardenhotelspa,https://www.instagram.com/namugardenhotelspa,https://www.facebook.com/profile.php?id=61550604153566,18141110668997261824,2026-03-28,active,https://www.puertoviejosatellite.com/en/puerto-viejo/namu-garden-hotel-and-spa/,,,
Olinca Boutique Hotel,hotel,Puerto Viejo,9.657426,-82.75013,0.414,pass,area_included:Puerto Viejo,array,+506 2229 5495,+50622295495,,olincaboutiquehotel,https://www.instagram.com/olincaboutiquehotel,,17724938072232701259,2026-03-30,active,https://www.puertoviejosatellite.com/en/puerto-viejo/olinca-boutique-hotel/,,,
Sueño Grande Bed and Breakfast,hotel,Puerto Viejo,9.657792,-82.750629,0.396,pass,area_included:Puerto Viejo,array,+506 7205 9392,+50672059392,,suenograndepv,https://www.instagram.com/suenograndepv,https://www.facebook.com/DreamBiginPV,5641578059331896840,2026-04-01,active,https://www.puertoviejosatellite.com/en/puerto-viejo/sueno-grande-bed-and-breakfast/,,,
La Tica y La Gata,hotel,Puerto Viejo,9.654492,-82.744791,0.938,pass,area_included:Puerto Viejo,array,+506 8756 0823,+50687560823,,laticaylagata,https://www.instagram.com/laticaylagata,https://www.facebook.com/laticaylagata,11047054352277007542,2026-05-21,active,https://www.puertoviejosatellite.com/en/puerto-viejo/la-tica-y-la-gata/,,,
Umami Hotel Garden Spa,hotel,Puerto Viejo,9.655954,-82.750633,0.299,pass,area_included:Puerto Viejo,array,+506 2750 3200,+50627503200,,,,https://www.facebook.com/umamihotel,9701222676819002481,2026-03-26,active,https://www.puertoviejosatellite.com/en/puerto-viejo/umami-hotel-garden-spa/,,,
Yucca Beachfront Hotel,hotel,Puerto Viejo,9.659462,-82.750116,0.571,pass,area_included:Puerto Viejo,array,+506 2750 0285,+50627500285,,cabinasyuccahotel,https://www.instagram.com/cabinasyuccahotel,https://www.facebook.com/cabinasyucca,6124202353518117731,2026-03-25,active,https://www.puertoviejosatellite.com/en/puerto-viejo/yucca-beachfront-hotel/,,,
"Banana Azul - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.658152,-82.773207,2.204,pass,area_included:Playa Negra,array,+506 2750-2035,+50627502035,,hotelbananaazul,https://www.instagram.com/hotelbananaazul,https://www.facebook.com/BananaAzul,3301165288581347626,2026-03-04,active,https://www.puertoviejosatellite.com/en/playa-negra/banana-azul/,,,
"Cabinas Kuákua - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.651052,-82.768973,1.785,pass,area_included:Playa Negra,array,+506 8960 7794,+50689607794,,cabinaskuakua,https://www.instagram.com/cabinaskuakua,,11219479455997326756,2025-02-28,active,https://www.puertoviejosatellite.com/en/playa-negra/cabinas-kuakua/,,,
"Casa Luce - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.654917,-82.772246,2.078,pass,area_included:Playa Negra,array,+506 8953 6016,+50689536016,,,,,17469621114106254322,2025-12-16,active,https://www.puertoviejosatellite.com/en/playa-negra/casa-luce/,,,
"Casitas Las Flores - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.650794,-82.765361,1.418,pass,area_included:Playa Negra,array,+506 8343 7810,+50683437810,,,,https://www.facebook.com/casitas.lasflores,13885126780319428127,2025-12-17,active,https://www.puertoviejosatellite.com/en/playa-negra/casitas-las-flores/,,,
"Hidden Jungle Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.65329,-82.757931,0.559,pass,area_included:Playa Negra,array,+506 8310 5061,+50683105061,,hidden.jungle.beach.house,https://www.instagram.com/hidden.jungle.beach.house,,,2026-05-21,active,https://www.puertoviejosatellite.com/en/playa-negra/hidden-jungle-beach-house/,,,
"Hotel One Love - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.651005,-82.762491,1.12,pass,area_included:Playa Negra,array,+506 8408 8073,+50684088073,,,,,14996707988450888278,2025-04-23,active,https://www.puertoviejosatellite.com/en/playa-negra/hotel-one-love/,,,
"Iguana Lodge - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.656519,-82.776487,2.545,pass,area_included:Playa Negra,array,+506 6353 5394,+50663535394,,,,,8482617327334657480,2025-12-15,active,https://www.puertoviejosatellite.com/en/playa-negra/iguana-lodge/,,,
"Kaya's Place - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.653761,-82.758627,0.612,pass,area_included:Playa Negra,array,+506 2750-0690,+50627500690,,,,https://www.facebook.com/kayasplace,8816532573875491055,2025-07-28,active,https://www.puertoviejosatellite.com/en/playa-negra/kayas-place/,,,
"Mecca - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.652677,-82.769524,1.804,pass,area_included:Playa Negra,array,,,,mecca_pv,https://www.instagram.com/mecca_pv,https://www.facebook.com/profile.php?id=100094468302620,9816532667813567561,2025-12-14,active,https://www.puertoviejosatellite.com/en/playa-negra/mecca/,,,
"Olivia del Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.657452,-82.777926,2.709,pass,area_included:Playa Negra,array,+506 6273 7485,+50662737485,,oliviadelcaribe,https://www.instagram.com/oliviadelcaribe,,11649313152541943974,2025-10-01,active,https://www.puertoviejosatellite.com/en/playa-negra/olivia-del-caribe/,,,
"Perla Negra Beachfront - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.657619,-82.771968,2.061,pass,area_included:Playa Negra,array,+506 8301 5726,+50683015726,,perla_negra_beachfront,https://www.instagram.com/perla_negra_beachfront,https://www.facebook.com/perlanegra2222,4419914265315119799,2026-05-27,active,https://www.puertoviejosatellite.com/en/playa-negra/perla-negra-beachfront/,,,
"La Prometida - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.655563,-82.772563,2.112,pass,area_included:Playa Negra,array,,,,laprometidahotel,https://www.instagram.com/laprometidahotel,https://www.facebook.com/laprometidahotel,10617292672602655877,2026-02-13,active,https://www.puertoviejosatellite.com/en/playa-negra/la-prometida/,,,
"Saranda Hotel Boutique - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.653515,-82.770322,1.878,pass,area_included:Playa Negra,array,+506 8347 9333,+50683479333,,sarandaboutiquehotel,https://www.instagram.com/sarandaboutiquehotel,,7564004912244932325,2025-12-31,active,https://www.puertoviejosatellite.com/en/playa-negra/saranda-hotel-boutique/,,,
"Sonora Jungle Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.658882,-82.787463,3.765,pass,area_included:Playa Negra,array,+506 4600 1111,+50646001111,,sonorajungleretreat,https://www.instagram.com/sonorajungleretreat,https://www.facebook.com/sonorajungleretreat,13462000015508270895,2026-03-25,active,https://www.puertoviejosatellite.com/en/playa-negra/sonora-jungle-retreat/,,,
"Sunshine Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.652442,-82.757874,0.6,pass,area_included:Playa Negra,array,+506 2750 0401,+50627500401,,,,https://www.facebook.com/sunshinecaribecr,,2025-08-01,active,https://www.puertoviejosatellite.com/en/playa-negra/sunshine-caribe/,,,
"Villas Allen - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,9.651002,-82.763103,1.181,pass,area_included:Playa Negra,array,+506 2756 8327,+50627568327,,,,https://www.facebook.com/villasallencr,,2025-07-02,active,https://www.puertoviejosatellite.com/en/playa-negra/villas-allen/,,,
"Azania Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.650042,-82.738112,1.768,pass,area_included:Cocles,array,+506 2750-0540,+50627500540,,,,,1284571712904930160,2025-06-29,active,https://www.puertoviejosatellite.com/en/cocles/azania-bungalows/,,,
"Bambutel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.640579,-82.736382,2.481,pass,area_included:Cocles,array,+506 7290 5459,+50672905459,,,,,14224886783313130797,2025-08-07,active,https://www.puertoviejosatellite.com/en/cocles/bambutel/,,,
"Cabañas Cocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.649793,-82.738832,1.704,pass,area_included:Cocles,array,+506 8870 0110,+50688700110,,cabanascocles,https://www.instagram.com/cabanascocles,https://www.facebook.com/hospedajecoclesenpuertoviejo,2857032637458926519,2025-08-19,active,https://www.puertoviejosatellite.com/en/cocles/cabanas-cocles/,,,
"Cabinas Ole Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.64038,-82.727033,3.329,pass,area_included:Cocles,array,+506 2750 0455,+50627500455,,,,https://www.facebook.com/olecaribepuertoviejo,,2025-03-11,active,https://www.puertoviejosatellite.com/en/cocles/cabinas-ole-caribe/,,,
"Caribe Town Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.643527,-82.727909,3.081,pass,area_included:Cocles,array,+506 2750 2034,+50627502034,,,,https://www.facebook.com/caribetownhotel,16161533908681591225,2026-03-04,active,https://www.puertoviejosatellite.com/en/cocles/caribe-town-resort/,,,
"Cariblue Beach and Jungle Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.651291,-82.73852,1.683,pass,area_included:Cocles,array,+506 2750 0518,+50627500518,,caribluehotel,https://www.instagram.com/caribluehotel,https://www.facebook.com/caribluehotel,,2026-02-24,active,https://www.puertoviejosatellite.com/en/cocles/cariblue-beach-and-jungle-resort/,,,
"Colina Secreta - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.630973,-82.732007,3.581,pass,area_included:Cocles,array,+506 83509066,+50683509066,,,,https://www.facebook.com/colinasecretaglamping,11726717133900260893,2026-02-20,active,https://www.puertoviejosatellite.com/en/cocles/colina-secreta/,,,
"La Costa de Papito - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.649254,-82.73712,1.901,pass,area_included:Cocles,array,+506 2750-0080,+50627500080,,,,https://www.facebook.com/costa.de.papito,15457918864809997738,2025-07-27,active,https://www.puertoviejosatellite.com/en/cocles/la-costa-de-papito/,,,
"Los Delfines Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.637276,-82.734092,2.915,pass,area_included:Cocles,array,+506 2750 0431,+50627500431,,,,,811731149839330623,2025-12-18,active,https://www.puertoviejosatellite.com/en/cocles/los-delfines-lodge/,,,
"Hotel Bugabutik - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.639053,-82.726895,3.418,pass,area_included:Cocles,array,+506 2750 2012,+50627502012,,,,https://www.facebook.com/Bugabutik,10932123085080779411,2025-08-27,active,https://www.puertoviejosatellite.com/en/cocles/hotel-bugabutik/,,,
"La Isla Inn - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.651862,-82.739174,1.598,pass,area_included:Cocles,array,+506 2750 0109,+50627500109,,,,,12610196440035693725,2025-09-02,active,https://www.puertoviejosatellite.com/en/cocles/la-isla-inn/,,,
"Lanna Ban Hotel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.643059,-82.725179,3.374,pass,area_included:Cocles,array,+506 2750 3053,+50627503053,,,,https://www.facebook.com/LannaBanHotelCR,1718865423614243627,2025-09-01,active,https://www.puertoviejosatellite.com/en/cocles/lanna-ban-hotel/,,,
"Le Caméléon - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.644014,-82.72851,2.998,pass,area_included:Cocles,array,+506 2750 0501,+50627500501,,,,https://www.facebook.com/lecameleonhotel,4837747133838124638,2025-09-02,active,https://www.puertoviejosatellite.com/en/cocles/le-cameleon/,,,
"La Magia Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.638895,-82.734446,2.764,pass,area_included:Cocles,array,+506 2750 3122,+50627503122,,,,https://www.facebook.com/profile.php?id=100054241400679,8216271918783135936,2025-12-16,active,https://www.puertoviejosatellite.com/en/cocles/la-magia-bungalows/,,,
"La Paz del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.640358,-82.726746,3.357,pass,area_included:Cocles,array,+506 8831 1684,+50688311684,,,,https://www.facebook.com/profile.php?id=100063584978663,15133962780271824116,2026-02-20,active,https://www.puertoviejosatellite.com/en/cocles/la-paz-del-caribe/,,,
"Physis Caribbean Bed & Breakfast - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.643148,-82.732712,2.636,pass,area_included:Cocles,array,+506 8866 4405,+50688664405,,,,https://www.facebook.com/Physis-Caribbean-Bed-Breakfast-176383099094213/,6927648870562475588,2025-12-08,active,https://www.puertoviejosatellite.com/en/cocles/physis-caribbean-bed-and-breakfast/,,,
"Pipa Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.64651,-82.732802,2.455,pass,area_included:Cocles,array,+506 8940 9767,+50689409767,,pipalodgecr,https://www.instagram.com/pipalodgecr,https://www.facebook.com/pipalodgeCocles,2503861879451247980,2025-08-20,active,https://www.puertoviejosatellite.com/en/cocles/pipa-lodge/,,,
"Relax Natural Village - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.643331,-82.733259,2.574,pass,area_included:Cocles,array,+506 2756 8160,+50627568160,,,,https://www.facebook.com/relaxnaturalvillage,,2025-12-08,active,https://www.puertoviejosatellite.com/en/cocles/relax-natural-village/,,,
"Satta Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,9.637051,-82.728029,3.441,pass,area_included:Cocles,array,+506 8308 5834,+50683085834,,sattalodge,https://www.instagram.com/sattalodge,https://www.facebook.com/sattalodge,,2026-03-31,active,https://www.puertoviejosatellite.com/en/cocles/satta-lodge/,,,
"Casa Merlin Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,9.639629,-82.716998,4.349,pass,area_included:Playa Chiquita,array,+506 2750 0581,+50627500581,,,,https://www.facebook.com/HOTELCasaMerlin,5273135705751598576,2025-09-06,active,https://www.puertoviejosatellite.com/en/playa-chiquita/casa-merlin-lodge/,,,
"Casitas Mar y Luz - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,9.63543,-82.708588,5.381,pass,area_included:Playa Chiquita,array,+506 2750 0686,+50627500686,,,,,8515965990195848246,2025-09-05,active,https://www.puertoviejosatellite.com/en/playa-chiquita/casitas-mar-y-luz/,,,
"Green Jungle House - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,9.635464,-82.7125,4.992,pass,area_included:Playa Chiquita,array,+506 8475 3859,+50684753859,,,,https://www.facebook.com/junglegreenhouse,10566257576749882719,2025-09-04,active,https://www.puertoviejosatellite.com/en/playa-chiquita/green-jungle-house/,,,
"Hotel Aguas Claras - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,9.642845,-82.720075,3.901,pass,area_included:Playa Chiquita,array,+506 2750-0131,+50627500131,,hotelaguasclaras,https://www.instagram.com/hotelaguasclaras,https://www.facebook.com/hotelaguasclarascostarica,,2026-03-07,active,https://www.puertoviejosatellite.com/en/playa-chiquita/hotel-aguas-claras/,,,
"Hotel Kasha - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,9.639328,-82.713897,4.675,pass,area_included:Playa Chiquita,array,+506 2750 0859,+50627500859,,,,,,2025-08-24,active,https://www.puertoviejosatellite.com/en/playa-chiquita/hotel-kasha/,,,
"Jaguar Inn Bungalows - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,9.641782,-82.723413,3.609,pass,area_included:Playa Chiquita,array,+506 2750 0710,+50627500710,,,,https://www.facebook.com/JaguarRescueCenter,4375569377161762321,2025-12-04,active,https://www.puertoviejosatellite.com/en/playa-chiquita/jaguar-inn-bungalows/,,,
"La Kukula Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,9.63625,-82.710357,5.167,pass,area_included:Playa Chiquita,array,+506 2750 0653,+50627500653,,lakukulalodge,https://www.instagram.com/lakukulalodge,https://www.facebook.com/lakukulalodge,12131830785097631441,2026-03-05,active,https://www.puertoviejosatellite.com/en/playa-chiquita/la-kukula-lodge/,,,
"Mar Verde Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,9.636584,-82.70614,5.577,pass,area_included:Playa Chiquita,array,+506 8496 2464,+50684962464,,,,https://www.facebook.com/Mar-Verde-Lodge-Stefan-y-L%C3%A9on-787904334557719/,12618084244946677516,2025-11-27,active,https://www.puertoviejosatellite.com/en/playa-chiquita/mar-verde-lodge/,,,
"Namuwoki Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,9.63698,-82.71379,4.791,pass,area_included:Playa Chiquita,array,+506 2750 0278,+50627500278,,namuwokilodge,https://www.instagram.com/namuwokilodge,https://www.facebook.com/namuwoki,7633661990399056727,2025-08-06,active,https://www.puertoviejosatellite.com/en/playa-chiquita/namuwoki-lodge/,,,
"El Nido Jungle Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,9.638314,-82.711704,4.94,pass,area_included:Playa Chiquita,array,,,,elnidolodge,https://www.instagram.com/elnidolodge,https://www.facebook.com/ElNidoLodge,17996754399669659267,2025-08-23,active,https://www.puertoviejosatellite.com/en/playa-chiquita/el-nido-jungle-lodge/,,,
